station,station name,station name english,on_line
tokyo-metro-渋谷駅,渋谷駅,Shibuya,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
tokyo-metro-表参道駅,表参道駅,Omotesandō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
tokyo-metro-外苑前駅,外苑前駅,Gaiemmae,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
tokyo-metro-青山一丁目駅,青山一丁目駅,Aoyama-Itchōme,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
tokyo-metro-赤坂見附駅,赤坂見附駅,Akasaka-Mitsuke,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
tokyo-metro-溜池山王駅,溜池山王駅,Tameike-Sannō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
tokyo-metro-虎ノ門駅,虎ノ門駅,Toranomon,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
tokyo-metro-新橋駅,新橋駅,Shimbashi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
tokyo-metro-銀座駅,銀座駅,Ginza,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
tokyo-metro-京橋駅,京橋駅,Kyōbashi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
tokyo-metro-日本橋駅,日本橋駅,Nihombashi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
tokyo-metro-三越前駅,三越前駅,Mitsukoshimae,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
tokyo-metro-神田駅,神田駅,Kanda,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
tokyo-metro-末広町駅,末広町駅,Suehirochō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
tokyo-metro-上野広小路駅,上野広小路駅,Ueno-Hirokōji,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
tokyo-metro-上野駅,上野駅,Ueno,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
tokyo-metro-稲荷町駅,稲荷町駅,Inarichō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
tokyo-metro-田原町駅,田原町駅,Tawaramachi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
tokyo-metro-浅草駅,浅草駅,Asakusa,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
tokyo-metro-荻窪駅,荻窪駅,Ogikubo,http://datadock.io/kal/data/id/resource/line/tokyo-metro-M
tokyo-metro-南阿佐ケ谷駅,南阿佐ケ谷駅,Minami-Asagaya,http://datadock.io/kal/data/id/resource/line/tokyo-metro-M
tokyo-metro-新高円寺駅,新高円寺駅,Shin-Kōenji,http://datadock.io/kal/data/id/resource/line/tokyo-metro-M
tokyo-metro-東高円寺駅,東高円寺駅,Higashi-Kōenji,http://datadock.io/kal/data/id/resource/line/tokyo-metro-M
tokyo-metro-新中野駅,新中野駅,Shin-Nakano,http://datadock.io/kal/data/id/resource/line/tokyo-metro-M
tokyo-metro-中野坂上駅,中野坂上駅,Nakano-Sakaue,http://datadock.io/kal/data/id/resource/line/tokyo-metro-M
tokyo-metro-西新宿駅,西新宿駅,Nishi-Shinjuku,http://datadock.io/kal/data/id/resource/line/tokyo-metro-M
tokyo-metro-新宿駅,新宿駅,Shinjuku,http://datadock.io/kal/data/id/resource/line/tokyo-metro-M
