station,station name,station name english,on_line
tokyo-metro-渋谷駅,渋谷駅,Shibuya,tokyo-metro-G
tokyo-metro-表参道駅,表参道駅,Omotesandō,tokyo-metro-G
tokyo-metro-外苑前駅,外苑前駅,Gaiemmae,tokyo-metro-G
tokyo-metro-青山一丁目駅,青山一丁目駅,Aoyama-Itchōme,tokyo-metro-G
tokyo-metro-赤坂見附駅,赤坂見附駅,Akasaka-Mitsuke,tokyo-metro-G
tokyo-metro-溜池山王駅,溜池山王駅,Tameike-Sannō,tokyo-metro-G
tokyo-metro-虎ノ門駅,虎ノ門駅,Toranomon,tokyo-metro-G
tokyo-metro-新橋駅,新橋駅,Shimbashi,tokyo-metro-G
tokyo-metro-銀座駅,銀座駅,Ginza,tokyo-metro-G
tokyo-metro-京橋駅,京橋駅,Kyōbashi,tokyo-metro-G
tokyo-metro-日本橋駅,日本橋駅,Nihombashi,tokyo-metro-G
tokyo-metro-三越前駅,三越前駅,Mitsukoshimae,tokyo-metro-G
tokyo-metro-神田駅,神田駅,Kanda,tokyo-metro-G
tokyo-metro-末広町駅,末広町駅,Suehirochō,tokyo-metro-G
tokyo-metro-上野広小路駅,上野広小路駅,Ueno-Hirokōji,tokyo-metro-G
tokyo-metro-上野駅,上野駅,Ueno,tokyo-metro-G
tokyo-metro-稲荷町駅,稲荷町駅,Inarichō,tokyo-metro-G
tokyo-metro-田原町駅,田原町駅,Tawaramachi,tokyo-metro-G
tokyo-metro-浅草駅,浅草駅,Asakusa,tokyo-metro-G
tokyo-metro-荻窪駅,荻窪駅,Ogikubo,tokyo-metro-M
tokyo-metro-南阿佐ケ谷駅,南阿佐ケ谷駅,Minami-Asagaya,tokyo-metro-M
tokyo-metro-新高円寺駅,新高円寺駅,Shin-Kōenji,tokyo-metro-M
tokyo-metro-東高円寺駅,東高円寺駅,Higashi-Kōenji,tokyo-metro-M
tokyo-metro-新中野駅,新中野駅,Shin-Nakano,tokyo-metro-M
tokyo-metro-中野坂上駅,中野坂上駅,Nakano-Sakaue,tokyo-metro-M
tokyo-metro-西新宿駅,西新宿駅,Nishi-Shinjuku,tokyo-metro-M
tokyo-metro-新宿駅,新宿駅,Shinjuku,tokyo-metro-M
tokyo-metro-新宿三丁目駅,新宿三丁目駅,Shinjuku-sanchōme,tokyo-metro-M
tokyo-metro-新宿御苑前駅,新宿御苑前駅,Shinjuku-gyoemmae,tokyo-metro-M
tokyo-metro-四谷三丁目駅,四谷三丁目駅,Yotsuya-sanchōme,tokyo-metro-M
tokyo-metro-四ツ谷駅,四ツ谷駅,Yotsuya,tokyo-metro-M
tokyo-metro-赤坂見附駅,赤坂見附駅,Akasaka-mitsuke,tokyo-metro-M
tokyo-metro-国会議事堂前駅,国会議事堂前駅,Kokkai-gijidō-mae,tokyo-metro-M
tokyo-metro-霞ケ関駅,霞ケ関駅,Kasumigaseki,tokyo-metro-M
tokyo-metro-銀座駅,銀座駅,Ginza,tokyo-metro-M
tokyo-metro-東京駅,東京駅,Tokyo,tokyo-metro-M
tokyo-metro-大手町駅,大手町駅,Ōtemachi,tokyo-metro-M
tokyo-metro-淡路町駅,淡路町駅,Awajichō,tokyo-metro-M
tokyo-metro-御茶ノ水駅,御茶ノ水駅,Ochanomizu,tokyo-metro-M
tokyo-metro-本郷三丁目駅,本郷三丁目駅,Hongō-sanchōme,tokyo-metro-M
tokyo-metro-後楽園駅,後楽園駅,Kōrakuen,tokyo-metro-M
tokyo-metro-茗荷谷駅,茗荷谷駅,Myōgadani,tokyo-metro-M
tokyo-metro-新大塚駅,新大塚駅,Shin-ōtsuka,tokyo-metro-M
tokyo-metro-池袋駅,池袋駅,Ikebukuro,tokyo-metro-M
tokyo-metro-方南町駅,方南町駅,Hōnanchō,tokyo-metro-M
tokyo-metro-中野富士見町駅,中野富士見町駅,Nakano-fujimichō,tokyo-metro-M
tokyo-metro-中野新橋駅,中野新橋駅,Nakano-shimbashi,tokyo-metro-M
tokyo-metro-中野坂上駅,中野坂上駅,Nakano-sakaue,tokyo-metro-M
tokyo-metro-中目黒駅,中目黒駅,Naka-Meguro,tokyo-metro-H
tokyo-metro-恵比寿駅,恵比寿駅,Ebisu,tokyo-metro-H
tokyo-metro-広尾駅,広尾駅,Hiroo,tokyo-metro-H
tokyo-metro-六本木駅,六本木駅,Roppongi,tokyo-metro-H
tokyo-metro-神谷町駅,神谷町駅,Kamiyachō,tokyo-metro-H
tokyo-metro-霞ケ関駅,霞ケ関駅,Kasumigaseki,tokyo-metro-H
tokyo-metro-日比谷駅,日比谷駅,Hibiya,tokyo-metro-H
tokyo-metro-銀座駅,銀座駅,Ginza,tokyo-metro-H
tokyo-metro-東銀座駅,東銀座駅,Higashi-ginza,tokyo-metro-H
tokyo-metro-築地駅,築地駅,Tsukiji,tokyo-metro-H
tokyo-metro-八丁堀駅,八丁堀駅,Hatchōbori,tokyo-metro-H
tokyo-metro-茅場町駅,茅場町駅,Kayabachō,tokyo-metro-H
tokyo-metro-人形町駅,人形町駅,Ningyōchō,tokyo-metro-H
tokyo-metro-小伝馬町駅,小伝馬町駅,Kodemmachō,tokyo-metro-H
tokyo-metro-秋葉原駅,秋葉原駅,Akihabara,tokyo-metro-H
tokyo-metro-仲御徒町駅,仲御徒町駅,Naka-Okachimachi,tokyo-metro-H
tokyo-metro-上野駅,上野駅,Ueno,tokyo-metro-H
tokyo-metro-入谷駅,入谷駅,Iriya,tokyo-metro-H
tokyo-metro-三ノ輪駅,三ノ輪駅,Minowa,tokyo-metro-H
tokyo-metro-南千住駅,南千住駅,Minami-Senju,tokyo-metro-H
tokyo-metro-北千住駅,北千住駅,Kita-Senju,tokyo-metro-H
tokyo-metro-中野駅,中野駅,Nakano,tokyo-metro-T
tokyo-metro-落合駅,落合駅,Ochiai,tokyo-metro-T
tokyo-metro-高田馬場駅,高田馬場駅,Takadanobaba,tokyo-metro-T
tokyo-metro-早稲田駅,早稲田駅,Waseda,tokyo-metro-T
tokyo-metro-神楽坂駅,神楽坂駅,Kagurazaka,tokyo-metro-T
tokyo-metro-飯田橋駅,飯田橋駅,Iidabashi,tokyo-metro-T
tokyo-metro-九段下駅,九段下駅,Kudanshita,tokyo-metro-T
tokyo-metro-竹橋駅,竹橋駅,Takebashi,tokyo-metro-T
tokyo-metro-大手町駅,大手町駅,Ōtemachi,tokyo-metro-T
tokyo-metro-日本橋駅,日本橋駅,Nihombashi,tokyo-metro-T
tokyo-metro-茅場町駅,茅場町駅,Kayabachō,tokyo-metro-T
tokyo-metro-門前仲町駅,門前仲町駅,Monzen-Nakachō,tokyo-metro-T
tokyo-metro-木場駅,木場駅,Kiba,tokyo-metro-T
tokyo-metro-東陽町駅,東陽町駅,Tōyōchō,tokyo-metro-T
tokyo-metro-南砂町駅,南砂町駅,Minami-Sunamachi,tokyo-metro-T
tokyo-metro-西葛西駅,西葛西駅,Nishi-Kasai,tokyo-metro-T
tokyo-metro-葛西駅,葛西駅,Kasai,tokyo-metro-T
tokyo-metro-浦安駅,浦安駅,Urayasu,tokyo-metro-T
tokyo-metro-南行徳駅,南行徳駅,Minami-Gyōtoku,tokyo-metro-T
tokyo-metro-行徳駅,行徳駅,Gyōtoku,tokyo-metro-T
tokyo-metro-妙典駅,妙典駅,Myōden,tokyo-metro-T
tokyo-metro-原木中山駅,原木中山駅,Baraki-Nakayama,tokyo-metro-T
tokyo-metro-西船橋駅,西船橋駅,Nishi-Funabashi,tokyo-metro-T
tokyo-metro-代々木上原駅,代々木上原駅,Yoyogi-Uehara,tokyo-metro-C
tokyo-metro-代々木公園駅,代々木公園駅,Yoyogi-Kōen,tokyo-metro-C
tokyo-metro-明治神宮前〈原宿〉駅,明治神宮前〈原宿〉駅,Meiji-Jingūmae (Harajuku),tokyo-metro-C
tokyo-metro-表参道駅,表参道駅,Omotesandō,tokyo-metro-C
tokyo-metro-乃木坂駅,乃木坂駅,Nogizaka,tokyo-metro-C
tokyo-metro-赤坂駅,赤坂駅,Akasaka,tokyo-metro-C
tokyo-metro-国会議事堂前駅,国会議事堂前駅,Kokkai-Gijidō-mae,tokyo-metro-C
tokyo-metro-霞ケ関駅,霞ケ関駅,Kasumigaseki,tokyo-metro-C
tokyo-metro-日比谷駅,日比谷駅,Hibiya,tokyo-metro-C
tokyo-metro-二重橋前駅,二重橋前駅,Nijūbashimae,tokyo-metro-C
tokyo-metro-大手町駅,大手町駅,Ōtemachi,tokyo-metro-C
tokyo-metro-新御茶ノ水駅,新御茶ノ水駅,Shin-Ochanomizu,tokyo-metro-C
tokyo-metro-湯島駅,湯島駅,Yushima,tokyo-metro-C
tokyo-metro-根津駅,根津駅,Nezu,tokyo-metro-C
tokyo-metro-千駄木駅,千駄木駅,Sendagi,tokyo-metro-C
tokyo-metro-西日暮里駅,西日暮里駅,Nishi-Nippori,tokyo-metro-C
tokyo-metro-町屋駅,町屋駅,Machiya,tokyo-metro-C
tokyo-metro-北千住駅,北千住駅,Kita-Senju,tokyo-metro-C
tokyo-metro-綾瀬駅,綾瀬駅,Ayase,tokyo-metro-C
tokyo-metro-和光市駅,和光市駅,Wakōshi,tokyo-metro-Y
