stop,﻿seeAlso,at_station,on_line
G-01,http://linkdata.org/resource/rdf1s3114i#G-01,tokyo-metro-渋谷駅,tokyo-metro-G
G-02,http://linkdata.org/resource/rdf1s3114i#G-02,tokyo-metro-表参道駅,tokyo-metro-G
G-03,http://linkdata.org/resource/rdf1s3114i#G-03,tokyo-metro-外苑前駅,tokyo-metro-G
G-04,http://linkdata.org/resource/rdf1s3114i#G-04,tokyo-metro-青山一丁目駅,tokyo-metro-G
G-05,http://linkdata.org/resource/rdf1s3114i#G-05,tokyo-metro-赤坂見附駅,tokyo-metro-G
G-06,http://linkdata.org/resource/rdf1s3114i#G-06,tokyo-metro-溜池山王駅,tokyo-metro-G
G-07,http://linkdata.org/resource/rdf1s3114i#G-07,tokyo-metro-虎ノ門駅,tokyo-metro-G
G-08,http://linkdata.org/resource/rdf1s3114i#G-08,tokyo-metro-新橋駅,tokyo-metro-G
G-09,http://linkdata.org/resource/rdf1s3114i#G-09,tokyo-metro-銀座駅,tokyo-metro-G
G-10,http://linkdata.org/resource/rdf1s3114i#G-10,tokyo-metro-京橋駅,tokyo-metro-G
G-11,http://linkdata.org/resource/rdf1s3114i#G-11,tokyo-metro-日本橋駅,tokyo-metro-G
G-12,http://linkdata.org/resource/rdf1s3114i#G-12,tokyo-metro-三越前駅,tokyo-metro-G
G-13,http://linkdata.org/resource/rdf1s3114i#G-13,tokyo-metro-神田駅,tokyo-metro-G
G-14,http://linkdata.org/resource/rdf1s3114i#G-14,tokyo-metro-末広町駅,tokyo-metro-G
G-15,http://linkdata.org/resource/rdf1s3114i#G-15,tokyo-metro-上野広小路駅,tokyo-metro-G
G-16,http://linkdata.org/resource/rdf1s3114i#G-16,tokyo-metro-上野駅,tokyo-metro-G
G-17,http://linkdata.org/resource/rdf1s3114i#G-17,tokyo-metro-稲荷町駅,tokyo-metro-G
G-18,http://linkdata.org/resource/rdf1s3114i#G-18,tokyo-metro-田原町駅,tokyo-metro-G
G-19,http://linkdata.org/resource/rdf1s3114i#G-19,tokyo-metro-浅草駅,tokyo-metro-G
M-01,http://linkdata.org/resource/rdf1s3114i#M-01,tokyo-metro-荻窪駅,tokyo-metro-M
M-02,http://linkdata.org/resource/rdf1s3114i#M-02,tokyo-metro-南阿佐ケ谷駅,tokyo-metro-M
M-03,http://linkdata.org/resource/rdf1s3114i#M-03,tokyo-metro-新高円寺駅,tokyo-metro-M
M-04,http://linkdata.org/resource/rdf1s3114i#M-04,tokyo-metro-東高円寺駅,tokyo-metro-M
M-05,http://linkdata.org/resource/rdf1s3114i#M-05,tokyo-metro-新中野駅,tokyo-metro-M
M-06,http://linkdata.org/resource/rdf1s3114i#M-06,tokyo-metro-中野坂上駅,tokyo-metro-M
M-07,http://linkdata.org/resource/rdf1s3114i#M-07,tokyo-metro-西新宿駅,tokyo-metro-M
M-08,http://linkdata.org/resource/rdf1s3114i#M-08,tokyo-metro-新宿駅,tokyo-metro-M
M-09,http://linkdata.org/resource/rdf1s3114i#M-09,tokyo-metro-新宿三丁目駅,tokyo-metro-M
M-10,http://linkdata.org/resource/rdf1s3114i#M-10,tokyo-metro-新宿御苑前駅,tokyo-metro-M
M-11,http://linkdata.org/resource/rdf1s3114i#M-11,tokyo-metro-四谷三丁目駅,tokyo-metro-M
M-12,http://linkdata.org/resource/rdf1s3114i#M-12,tokyo-metro-四ツ谷駅,tokyo-metro-M
M-13,http://linkdata.org/resource/rdf1s3114i#M-13,tokyo-metro-赤坂見附駅,tokyo-metro-M
M-14,http://linkdata.org/resource/rdf1s3114i#M-14,tokyo-metro-国会議事堂前駅,tokyo-metro-M
M-15,http://linkdata.org/resource/rdf1s3114i#M-15,tokyo-metro-霞ケ関駅,tokyo-metro-M
M-16,http://linkdata.org/resource/rdf1s3114i#M-16,tokyo-metro-銀座駅,tokyo-metro-M
M-17,http://linkdata.org/resource/rdf1s3114i#M-17,tokyo-metro-東京駅,tokyo-metro-M
M-18,http://linkdata.org/resource/rdf1s3114i#M-18,tokyo-metro-大手町駅,tokyo-metro-M
M-19,http://linkdata.org/resource/rdf1s3114i#M-19,tokyo-metro-淡路町駅,tokyo-metro-M
M-20,http://linkdata.org/resource/rdf1s3114i#M-20,tokyo-metro-御茶ノ水駅,tokyo-metro-M
M-21,http://linkdata.org/resource/rdf1s3114i#M-21,tokyo-metro-本郷三丁目駅,tokyo-metro-M
M-22,http://linkdata.org/resource/rdf1s3114i#M-22,tokyo-metro-後楽園駅,tokyo-metro-M
M-23,http://linkdata.org/resource/rdf1s3114i#M-23,tokyo-metro-茗荷谷駅,tokyo-metro-M
M-24,http://linkdata.org/resource/rdf1s3114i#M-24,tokyo-metro-新大塚駅,tokyo-metro-M
M-25,http://linkdata.org/resource/rdf1s3114i#M-25,tokyo-metro-池袋駅,tokyo-metro-M
